accession	strain	collection_date	country	host
NZ_CP011134	VR50	unknown	unknown	Homo sapiens
NZ_CP011134	VR50	unknown	unknown	Homo sapiens
NZ_CP011134	VR50	unknown	unknown	Homo sapiens
NZ_CP011134	VR50	unknown	unknown	Homo sapiens
NZ_CP011134	VR50	unknown	unknown	Homo sapiens
NZ_CP010440	ER3476	2014	unknown	unknown
NZ_CP010444	ER3475	2014	unknown	unknown
NZ_CP007594	SEC470	unknown	unknown	unknown
NZ_CP011416	CFSAN029787	2012	Italy	Homo sapiens
NZ_CP011416	CFSAN029787	2012	Italy	Homo sapiens
NZ_CP011416	CFSAN029787	2012	Italy	Homo sapiens
NZ_CP011938	C43(DE3)	2009	South Korea	unknown
NZ_CP012126	DH1Ec104	2014	USA	unknown
NZ_CP012625	SF-468	2010	USA	Homo sapiens
NZ_CP012625	SF-468	2010	USA	Homo sapiens
NZ_CP012625	SF-468	2010	USA	Homo sapiens
NZ_CP012625	SF-468	2010	USA	Homo sapiens
NZ_CP012625	SF-468	2010	USA	Homo sapiens
NZ_CP012625	SF-468	2010	USA	Homo sapiens
NZ_CP012868	K-12	unknown	India	unknown
NZ_CP013025	2009C-3133	2008	USA	Homo sapiens
NZ_CP013025	2009C-3133	2008	USA	Homo sapiens
NZ_CP013025	2009C-3133	2008	USA	Homo sapiens
NZ_CP013025	2009C-3133	2008	USA	Homo sapiens
NZ_CP008697	ST648	2009	China	Homo sapiens
NZ_CP008697	ST648	2009	China	Homo sapiens
NZ_CP008697	ST648	2009	China	Homo sapiens
NZ_CP008697	ST648	2009	China	Homo sapiens
NZ_CP008697	ST648	2009	China	Homo sapiens
NZ_CP008697	ST648	2009	China	Homo sapiens
NZ_CP008697	ST648	2009	China	Homo sapiens
NZ_CP008697	ST648	2009	China	Homo sapiens
NZ_CP014197	MRE600	1950	United Kingdom	unknown
NZ_CP014197	MRE600	1950	United Kingdom	unknown
NZ_CP014197	MRE600	1950	United Kingdom	unknown
NZ_CP014197	MRE600	1950	United Kingdom	unknown
NZ_CP014269	C3029	unknown	USA	unknown
NZ_CP014495	SaT040	2007	USA	Homo sapiens
NZ_CP014495	SaT040	2007	USA	Homo sapiens
NZ_CP014522	ZH063	2002	Canada	Homo sapiens
NZ_CP014522	ZH063	2002	Canada	Homo sapiens
NZ_CP014522	ZH063	2002	Canada	Homo sapiens
NZ_CP015023	SRCC 1675	2002	USA	unknown
NZ_CP015023	SRCC 1675	2002	USA	unknown
NZ_CP015076	Ecol_448	2011	Argentina	Homo sapiens
NZ_CP015076	Ecol_448	2011	Argentina	Homo sapiens
NZ_CP015076	Ecol_448	2011	Argentina	Homo sapiens
NZ_CP015831	644-PT8	2012	United Kingdom	Homo sapiens
NZ_CP015995	S51	2015	Switzerland	unknown
NZ_CP015995	S51	2015	Switzerland	unknown
NZ_CP015995	S51	2015	Switzerland	unknown
NZ_CP015228	09-00049	2009	USA	unknown
NZ_CP015228	09-00049	2009	USA	unknown
NZ_CP015912	210205630	2016	USA	unknown
NZ_CP015912	210205630	2016	USA	unknown
NZ_CP015912	210205630	2016	USA	unknown
NZ_CP015912	210205630	2016	USA	unknown
NZ_CP015912	210205630	2016	USA	unknown
NZ_CP015912	210205630	2016	USA	unknown
NZ_CP016546	O177:H21	2015	Netherlands	Homo sapiens
NZ_CP016546	O177:H21	2015	Netherlands	Homo sapiens
NZ_CP016546	O177:H21	2015	Netherlands	Homo sapiens
NZ_CP016546	O177:H21	2015	Netherlands	Homo sapiens
NZ_CP016546	O177:H21	2015	Netherlands	Homo sapiens
NZ_CP016546	O177:H21	2015	Netherlands	Homo sapiens
NZ_CP014583	CFSAN004176	2003	USA	Homo sapiens
NZ_CP014583	CFSAN004176	2003	USA	Homo sapiens
NZ_CP014583	CFSAN004176	2003	USA	Homo sapiens
NZ_CP014583	CFSAN004176	2003	USA	Homo sapiens
NZ_CP013190	FORC_031	2004	Korea	Homo sapiens
NZ_CP013190	FORC_031	2004	Korea	Homo sapiens
NZ_CP013190	FORC_031	2004	Korea	Homo sapiens
NZ_CP013190	FORC_031	2004	Korea	Homo sapiens
NZ_CP013190	FORC_031	2004	Korea	Homo sapiens
NZ_CP017438	2159	2003	USA	unknown
NZ_CP017438	2159	2003	USA	unknown
NZ_CP017249	NADC 5570/86-24/6565	unknown	unknown	unknown
NZ_CP017249	NADC 5570/86-24/6565	unknown	unknown	unknown
NZ_CP018103	MRSN352231	2016	Germany	Homo sapiens
NZ_CP018103	MRSN352231	2016	Germany	Homo sapiens
NZ_CP018103	MRSN352231	2016	Germany	Homo sapiens
NZ_CP018103	MRSN352231	2016	Germany	Homo sapiens
NZ_CP018103	MRSN352231	2016	Germany	Homo sapiens
NZ_CP018103	MRSN352231	2016	Germany	Homo sapiens
NZ_CP016628	FORC_041	2013	South Korea	unknown
NZ_CP018245	472	2012	United Kingdom	Homo sapiens
NZ_CP018245	472	2012	United Kingdom	Homo sapiens
NZ_CP018241	319	2012	United Kingdom	Homo sapiens
NZ_CP018241	319	2012	United Kingdom	Homo sapiens
NZ_CP010121	C4	2014	unknown	cow
NZ_CP010151	D8	2014	unknown	dog
NZ_CP010176	H10	2014	unknown	unknown
NZ_CP010125	C8	2014	unknown	cow
NZ_CP010125	C8	2014	unknown	cow
NZ_CP010125	C8	2014	unknown	cow
NZ_CP010125	C8	2014	unknown	cow
NZ_CP010140	D3	2014	unknown	dog
NZ_CP010140	D3	2014	unknown	dog
NZ_CP010140	D3	2014	unknown	dog
NZ_CP010152	D9	2014	unknown	dog
NZ_CP010152	D9	2014	unknown	dog
NZ_CP010152	D9	2014	unknown	dog
NZ_CP010152	D9	2014	unknown	dog
NZ_CP010152	D9	2014	unknown	dog
NZ_CP010167	H3	2014	unknown	unknown
NZ_CP010167	H3	2014	unknown	unknown
NZ_CP010230	S21	2014	unknown	unknown
NZ_CP010178	H15	2014	unknown	unknown
NZ_CP010178	H15	2014	unknown	unknown
NZ_CP010191	M8	2014	unknown	mouse
NZ_CP010191	M8	2014	unknown	mouse
NZ_CP010191	M8	2014	unknown	mouse
NZ_CP010191	M8	2014	unknown	mouse
NZ_CP010191	M8	2014	unknown	mouse
NZ_CP010213	M15	2014	unknown	mouse
NZ_CP010213	M15	2014	unknown	mouse
NZ_CP010213	M15	2014	unknown	mouse
NZ_CP010213	M15	2014	unknown	mouse
NZ_CP010213	M15	2014	unknown	mouse
NZ_CP010213	M15	2014	unknown	mouse
NZ_CP010231	S30	2014	unknown	unknown
NZ_CP010231	S30	2014	unknown	unknown
NZ_CP010231	S30	2014	unknown	unknown
NZ_CP010231	S30	2014	unknown	unknown
NZ_CP010229	S10	2014	unknown	unknown
NZ_CP019213	WCHEC1613	2015	China	unknown
NZ_CP019213	WCHEC1613	2015	China	unknown
NZ_CP019213	WCHEC1613	2015	China	unknown
NZ_CP019213	WCHEC1613	2015	China	unknown
NZ_CP018948	Ecol_224	2010	Viet Nam	Homo sapiens
NZ_CP018948	Ecol_224	2010	Viet Nam	Homo sapiens
NZ_CP018948	Ecol_224	2010	Viet Nam	Homo sapiens
NZ_CP018948	Ecol_224	2010	Viet Nam	Homo sapiens
NZ_CP018948	Ecol_224	2010	Viet Nam	Homo sapiens
NZ_CP018948	Ecol_224	2010	Viet Nam	Homo sapiens
NZ_CP018948	Ecol_224	2010	Viet Nam	Homo sapiens
NZ_CP018948	Ecol_224	2010	Viet Nam	Homo sapiens
NZ_CP018948	Ecol_224	2010	Viet Nam	Homo sapiens
NZ_CP018970	Ecol_542	2011	Viet Nam	Homo sapiens
NZ_CP018970	Ecol_542	2011	Viet Nam	Homo sapiens
NZ_CP018970	Ecol_542	2011	Viet Nam	Homo sapiens
NZ_CP018970	Ecol_542	2011	Viet Nam	Homo sapiens
NZ_CP018970	Ecol_542	2011	Viet Nam	Homo sapiens
NZ_CP018995	Ecol_AZ147	2012	Israel	Homo sapiens
NZ_CP018995	Ecol_AZ147	2012	Israel	Homo sapiens
NZ_CP018995	Ecol_AZ147	2012	Israel	Homo sapiens
NZ_CP018995	Ecol_AZ147	2012	Israel	Homo sapiens
NZ_CP018962	Ecol_422	2011	Ecuador	Homo sapiens
NZ_CP018962	Ecol_422	2011	Ecuador	Homo sapiens
NZ_CP018962	Ecol_422	2011	Ecuador	Homo sapiens
NZ_CP018962	Ecol_422	2011	Ecuador	Homo sapiens
NZ_CP018962	Ecol_422	2011	Ecuador	Homo sapiens
NZ_CP019012	Ecol_AZ161	2013	USA	Homo sapiens
NZ_CP019012	Ecol_AZ161	2013	USA	Homo sapiens
NZ_CP019012	Ecol_AZ161	2013	USA	Homo sapiens
NZ_CP019012	Ecol_AZ161	2013	USA	Homo sapiens
NZ_CP020048	AR_0118	unknown	unknown	unknown
NZ_CP020048	AR_0118	unknown	unknown	unknown
NZ_CP020048	AR_0118	unknown	unknown	unknown
NZ_CP020048	AR_0118	unknown	unknown	unknown
NZ_CP020106	13E0780	1998	Germany	unknown
NZ_CP014642	BLK16	2012	Hungary	unknown
NZ_LT615377	unknown	unknown	unknown	unknown
