accession	strain	collection_date	country	host
NZ_CP014497	ZH193	2004	unknown	Homo sapiens
NZ_CP014316	JJ1887	2007	USA	Homo sapiens
NZ_CP014316	JJ1887	2007	USA	Homo sapiens
NZ_CP014316	JJ1887	2007	USA	Homo sapiens
NZ_CP014316	JJ1887	2007	USA	Homo sapiens
NZ_CP014316	JJ1887	2007	USA	Homo sapiens
NZ_CP014316	JJ1887	2007	USA	Homo sapiens
NZ_CP011061	Sanji	2011	China	pheasant
NZ_CP011061	Sanji	2011	China	pheasant
NZ_CP011061	Sanji	2011	China	pheasant
NZ_CP011061	Sanji	2011	China	pheasant
NZ_CP011061	Sanji	2011	China	pheasant
NZ_CP011061	Sanji	2011	China	pheasant
NZ_CP011061	Sanji	2011	China	pheasant
NZ_CP015020	28RC1	1999	USA	unknown
NZ_CP015020	28RC1	1999	USA	unknown
NZ_CP015138	Ecol_732	2012	Thailand	Homo sapiens
NZ_CP015138	Ecol_732	2012	Thailand	Homo sapiens
NZ_CP015138	Ecol_732	2012	Thailand	Homo sapiens
NZ_CP015138	Ecol_732	2012	Thailand	Homo sapiens
NZ_CP015138	Ecol_732	2012	Thailand	Homo sapiens
NZ_CP015138	Ecol_732	2012	Thailand	Homo sapiens
NZ_CP015138	Ecol_732	2012	Thailand	Homo sapiens
NZ_CP015069	Ecol_743	2012	United Arab Emirates	Homo sapiens
NZ_CP015069	Ecol_743	2012	United Arab Emirates	Homo sapiens
NZ_CP015069	Ecol_743	2012	United Arab Emirates	Homo sapiens
NZ_CP015069	Ecol_743	2012	United Arab Emirates	Homo sapiens
NZ_CP015069	Ecol_743	2012	United Arab Emirates	Homo sapiens
NZ_CP015074	Ecol_745	unknown	unknown	unknown
NZ_CP015074	Ecol_745	unknown	unknown	unknown
NZ_CP015240	2011C-3911	2011	unknown	Homo sapiens
NZ_CP015240	2011C-3911	2011	unknown	Homo sapiens
NZ_CP015241	2013C-4465	2013	unknown	Homo sapiens
NZ_CP015241	2013C-4465	2013	unknown	Homo sapiens
NZ_CP015832	180-PT54	2012	United Kingdom	Homo sapiens
NZ_CP015832	180-PT54	2012	United Kingdom	Homo sapiens
NZ_CP015846	FRIK2069	2011	USA	unknown
NZ_CP015846	FRIK2069	2011	USA	unknown
NZ_CP015842	FRIK2533	2011	USA	Bos taurus
NZ_CP015843	FRIK2455	2011	USA	Bos taurus
NZ_CP015843	FRIK2455	2011	USA	Bos taurus
NZ_CP015843	FRIK2455	2011	USA	Bos taurus
NZ_CP016007	NGF1	2014	USA	Mus musculus
NZ_CP016007	NGF1	2014	USA	Mus musculus
NZ_CP016007	NGF1	2014	USA	Mus musculus
NZ_CP016018	ER1821R	unknown	unknown	unknown
NZ_CP015159	Eco889	2014	USA	Homo sapiens
NZ_CP015159	Eco889	2014	USA	Homo sapiens
NZ_CP015159	Eco889	2014	USA	Homo sapiens
NZ_CP014667	ECONIH2	2014	USA	Homo sapiens
NZ_CP014667	ECONIH2	2014	USA	Homo sapiens
NZ_CP014667	ECONIH2	2014	USA	Homo sapiens
NZ_CP015229	06-00048	2006	USA	unknown
NZ_CP015229	06-00048	2006	USA	unknown
NZ_CP013662	08-00022	unknown	unknown	Homo sapiens
NZ_CP013662	08-00022	unknown	unknown	Homo sapiens
NZ_CP013031	H1827/12	unknown	unknown	Homo sapiens
NZ_CP013663	GB089	unknown	unknown	unknown
NZ_CP013663	GB089	unknown	unknown	unknown
NZ_CP016182	EC590	2013	Malaysia	Homo sapiens
